"Raman Shift [cm -1]","RD1","RD2","RD3","RD4","RD5","RD6","RD7","RD8","RD9"
"983","496.672","239.779","579.961","1204.93","1939.43","902.662","855.165","266.399","510.944"
"984","496.5","238.436","579.703","1201.51","1937.74","898.706","854.373","266.359","513.187"
"985","496.325","236.91","578.865","1197.48","1934.97","893.712","851.437","265.943","514.783"
"986","495.784","234.879","576.488","1191.93","1930.08","887.732","848.162","261.345","514.695"
"987","494.537","232.755","571.81","1185.09","1924.84","881.096","845.769","259.037","513.694"
"988","492.95","230.706","567.142","1177.06","1916.72","873.324","843.799","256.161","510.659"
"989","491.05","229.091","562.91","1168.07","1904.53","865.664","840.489","253.612","506.121"
"990","489.062","227.787","558.952","1157.8","1890.52","858.277","835.983","250.914","500.355"
"991","485.168","226.742","554.564","1147.78","1873.22","851.231","830.321","248.098","492.424"
"992","481.457","226.033","550.198","1138.52","1856.6","845.202","823.999","244.895","491.905"
"993","477.541","225.672","545.98","1131.12","1839.39","839.655","817.263","241.934","487.521"
"994","473.854","225.18","542.398","1124.73","1822.65","834.402","810.109","239.346","482.641"
"995","472.13","225.08","540.74","1122.24","1814.52","831.92","806.56","238.2","480.02"
"996","467.393","223.731","536.427","1115.29","1790.61","824.569","796.538","235.604","471.839"
"997","465.352","222.861","534.637","1111.18","1775.97","820.255","790.424","234.984","466.435"
"998","463.761","221.863","532.581","1106.95","1761.72","816.208","784.804","234.292","461.184"
"999","462.402","220.685","530.27","1102.48","1748.26","812.577","779.815","234.322","457.702"
"1000","461.141","219.965","527.171","1098.25","1736.42","808.526","775.434","234.076","453.929"
"1001","459.755","218.975","523.842","1094.07","1727.81","804.506","771.906","234.16","450.251"
"1002","457.716","217.966","520.248","1089.79","1721.72","800.398","769.035","234.278","449.658"
"1003","454.962","216.69","516.934","1085.41","1717.62","796.257","766.779","234.826","448.383"
"1004","452.247","214.441","514.287","1080.92","1714.81","791.991","764.861","234.809","446.959"
"1005","449.683","211.824","512.547","1076.12","1712.33","788.038","763.187","234.199","446.079"
"1006","447.325","209.624","511.235","1071.26","1710.06","784.253","761.633","233.458","445.117"
"1007","445.053","208.761","510.202","1065.96","1708.24","781.001","759.784","232.77","444.375"
"1008","443.479","207.809","509.216","1060.48","1706.36","777.51","758.073","232.323","443.54"
"1009","442.882","207.544","508.246","1054.7","1704.6","774.358","756.074","232.546","443.032"
"1010","441.212","207.586","507.053","1048.31","1702.75","771.505","753.882","231.698","443.548"
"1011","440.18","207.41","506.4","1045.26","1701.64","770.64","752.69","231.06","443.89"
"1012","437.256","206.911","504.417","1036.86","1698.15","769.865","749.071","229.462","445.401"
"1013","436.015","206.878","503.126","1034.15","1694.86","770.169","746.747","229.578","446.183"
"1014","435.724","206.529","501.383","1031.27","1689.57","771.064","744.736","229.007","446.316"
"1015","435.702","206.448","499.855","1029.41","1682.47","772.539","743.244","228.714","446.315"
"1016","436.027","207.008","498.208","1029.24","1681.04","774","742.655","228.841","446.632"
"1017","435.194","207.758","496.698","1031.84","1681.31","776.075","742.954","229.728","446.602"
"1018","434.546","208.394","495.446","1036.23","1682.9","778.59","743.655","230.145","446.693"
"1019","434.026","208.933","494.52","1039.13","1685.27","781.127","745.105","230.6","446.163"
"1020","434.081","209.697","494.39","1043.2","1688.45","783.754","747.045","231.191","445.737"
"1021","434.642","210.381","495.115","1048.47","1692.17","786.149","749.313","231.353","445.949"
"1022","435.961","210.719","496.483","1053.68","1695.74","788.008","751.678","231.464","446.748"
"1023","438.164","211.211","498.423","1057.94","1699.77","790.207","754","231.789","446.535"
"1024","440.415","211.099","501.331","1061.37","1703","791.965","756.03","232.368","446.068"
"1025","438.693","210.488","504.422","1063.33","1705.31","793.147","757.687","231.745","445.514"
"1026","436.857","209.404","507.723","1064.79","1706.49","793.444","758.736","230.877","444.798"
"1027","434.837","208.277","510.315","1063.82","1706.42","792.867","758.172","230.067","443.08"
"1028","434.39","207.57","510.82","1062.44","1705.62","791.23","756.76","229.86","442.03"
"1029","432.999","205.328","510.791","1057.16","1701.62","785.902","752.378","228.89","438.926"
"1030","431.824","204.528","506.248","1052.27","1697.12","781.809","749.556","228.086","437.157"
"1031","429.571","203.474","505.713","1045.9","1691.23","777.587","747.067","227.333","435.563"
"1032","426.948","201.91","504.873","1038.39","1684.18","773.815","745.262","226.429","434.646"
"1033","424.353","201.016","503.158","1029.46","1675.52","769.724","743.314","225.795","433.171"
"1034","421.898","200.656","500.271","1019.56","1666.29","765.635","741.521","224.487","432.484"
"1035","419.705","200.482","495.119","1011.92","1657.22","761.385","740.23","223.361","431.606"
"1036","417.904","200.258","492.06","1006.54","1647.91","757.586","737.787","222.747","431.881"
"1037","416.527","200.036","489.514","1003.31","1639.87","754.608","735.894","222.277","432.811"
"1038","415.456","199.888","487.683","1000.5","1632.85","753.357","734.556","221.764","433.72"
"1039","414.621","199.887","486.337","1000.65","1627.46","753.255","733.702","221.768","433.912"
"1040","413.869","199.931","485.602","1002.68","1623.63","754.213","733.571","221.824","434.185"
"1041","413.316","200.261","485.379","1006.13","1622.58","755.797","733.663","221.595","433.239"
"1042","413.452","200.496","485.608","1010.18","1622.49","757.965","733.831","221.82","432.149"
"1043","414.529","200.919","485.955","1015.18","1623.29","760.286","734.016","222.027","431.851"
"1044","415.563","201.224","486.563","1018.8","1624.03","762.675","733.991","221.656","432.193"
"1045","416.492","202.217","487.572","1021.82","1624.98","764.851","733.758","220.789","432.705"
"1046","417.007","203.01","488.477","1024.08","1626.37","766.569","733.288","220.725","431.245"
"1047","417.13","203.5","489.07","1024.71","1627.3","767.29","732.95","220.33","430.66"
"1048","417.247","204.45","490.689","1025.64","1630.3","768.844","731.526","218.865","429.359"
"1049","416.834","205.846","491.331","1024.76","1634.01","769.107","730.302","217.536","429.381"
"1050","416.013","211.335","491.481","1023.02","1633.67","768.796","728.949","216.466","429.261"
"1051","414.641","209.073","490.988","1019.25","1631.8","767.169","727.51","215.521","429.96"
"1052","412.805","205.737","489.347","1014.22","1626.49","763.395","726.041","214.528","429.774"
"1053","410.894","202.603","487.187","1008.58","1619.19","758.706","724.347","213.913","430.209"
"1054","409.153","198.816","484.429","1003.33","1610.33","753.72","723.003","212.658","430.317"
"1055","409.797","196.586","481.104","998.171","1600.92","748.778","722.095","212.293","429.776"
"1056","410.486","195.982","476.318","993.066","1591.64","743.877","721.04","212.68","430.108"
"1057","411.109","197.579","473.712","988.125","1581.47","739.421","719.886","212.976","429.261"
"1058","410.96","198.32","472.002","983.414","1571.9","735.29","718.928","212.871","427.259"
"1059","410.445","198.655","471.019","979.096","1563.3","731.481","716.929","212.886","424.214"
