"Raman Shift [cm -1]","normalized1","normalized2","normalized3","normalized4","normalized5","normalized6","normalized7","normalized8","normalized9"
"1365","-0.5718848713827361","-1.086055280565828","-0.5799189061897622","-0.21538640392158342","0.6899408627580654","0.5528214422931838","-0.38982001965484175","-0.9615900385531365","-0.3291611495617409"
"1366","-0.5239466047823195","-1.145157040938421","-0.5471052717338808","-0.19595024778111836","0.6853092547867116","0.5491291986789595","-0.4055349421546348","-0.9340431791365182","-0.363123163263403"
"1367","-0.47551054258433656","-1.1981482273775632","-0.5118447997159098","-0.18977735641856366","0.6806077706499928","0.5451721380572476","-0.44234685441292404","-0.8953811889416492","-0.4076247496879268"
"1368","-0.4345895304616971","-1.240093363387164","-0.4787065042459171","-0.2024747108215595","0.6744468476918529","0.539783001621854","-0.4917623337988312","-0.8567429296038461","-0.4560760070654975"
"1369","-0.3983219127746298","-1.245081260148579","-0.45581294029298214","-0.23331120068987252","0.6649410614416302","0.5324942388678532","-0.5460968553061858","-0.8181283215676252","-0.4909035922046907"
"1370","-0.3672800829817893","-1.2229828204994344","-0.4446872183212866","-0.28228702940204814","0.650205000753315","0.5228383125987451","-0.6004970408677717","-0.7795372852635454","-0.5203452349555548"
"1371","-0.34089174748114015","-1.1663948308226744","-0.44482184765971267","-0.3425767638124925","0.6310309929041573","0.5096480040089643","-0.6529406593454543","-0.7359065860203342","-0.5345159895290988"
"1372","-0.32201866171826937","-1.1110993609527227","-0.45621698278547285","-0.410767782825997","0.6068229287397637","0.4929222663187321","-0.6783518349239347","-0.6953371923589007","-0.5290226243517422"
"1373","-0.3129502360340852","-1.0509270581310535","-0.4864875130200109","-0.47296523994593814","0.5779764627654721","0.4726600664422552","-0.6872462780165319","-0.6385890353208089","-0.5236354652029609"
"1374","-0.31368650960187755","-0.9451603388229398","-0.540710077154194","-0.5308757299573903","0.5428045882968979","0.44699453157821856","-0.6731528023472751","-0.5768009764105533","-0.5359281459856543"
