"Raman Shift [cm -1]","noFluo2","noFluo3","noFluo5","noFluo6","noFluo8","noFluo9","noFluo10","noFluo11","noFluo12","noFluo13","noFluo14","noFluo15","noFluo17","noFluo18","noFluo19"
"1553","-7.510661769438987","-14.92752570861424","-12.385370072718132","-4.20558707415689","1.8018905646680312","-8.262664724332938","-3.4754554086668024","-29.092541758165343","-6.41752194908364","-9.71558339679203","-10.59214478487816","-9.148652362339524","-1.5023143195069308","-6.109471954657831","-8.188256203039257"
"1554","-8.191664891916528","-16.603927002393892","-17.1275033999852","-5.770621830741079","-0.11594297782507423","-10.332228433991029","-5.739030445527979","-31.86969825625454","-7.417484146365086","-10.568279285829082","-12.145460218773186","-10.425827411168616","-2.2654389466209928","-7.106450019748715","-13.040383102480284"
"1555","-8.707223205933447","-18.178494694833855","-21.528692691485595","-7.150625745101248","-1.8868191551698708","-12.19474022353819","-7.80285655366976","-34.32797055547669","-8.330589280025618","-11.256269990619256","-13.507130232193104","-11.612274904392576","-2.961213868859025","-7.943275876514503","-17.655593717490937"
"1556","-9.070947991289678","-19.639745087319646","-25.53792301200197","-8.29029685553056","-3.454817391850896","-13.83300914905695","-9.624098533209285","-36.476306844789995","-9.157582909493984","-11.81241811884766","-14.663832019522099","-12.700004756046507","-3.5961431445546377","-8.619922713255432","-22.012866450834792"
"1557","-9.304898695416478","-20.977780804939407","-29.114467115593165","-9.170713800124021","-4.799588233421675","-15.25120053854139","-11.312185812389568","-38.29505369087157","-9.894391181170135","-12.25683063067073","-15.61062532728663","-13.684526253132491","-4.174042894407979","-9.146732783381049","-26.08490338609974"
"1558","-9.444040903918347","-22.18931688292626","-32.28946225630762","-9.938931951761786","-5.9498258106305135","-16.45641473501264","-12.841208582468868","-39.812354103541566","-10.535000055146389","-12.556049176552314","-16.35707419310925","-14.565497330482682","-4.706908934276709","-9.540817405360407","-29.848607582412384"
"1559","-9.526346823196134","-23.273862408670446","-35.0947855497202","-10.603589214947739","-6.969289095786998","-17.469139269594795","-14.173477217651643","-41.02405671238877","-11.086058203455773","-12.731809517224049","-16.918178346499044","-15.346382541281224","-5.2061438282538415","-9.826381600347622","-33.378878243548485"
"1560","-9.592412671261345","-24.22804709128477","-37.53951001073122","-11.177168827464195","-7.906840550477103","-18.318043063571242","-15.309284593552121","-41.99296214129886","-11.530434497661252","-12.814255049945722","-17.306904609642952","-16.02947527875168","-5.6882593040676035","-10.030451628362927","-36.67199815757568"
"1561","-9.678250947808696","-25.043031889079934","-39.64550262038557","-11.665848635474994","-8.791932116227313","-19.025628601453825","-16.267642318722988","-42.7539862913592","-11.868211245261037","-12.881246953095065","-17.542026510762955","-16.611762509961956","-6.163088813406735","-10.183159046209978","-39.70999698190567"
"1562","-9.81492714870859","-25.72537084483902","-41.400715146299056","-12.071512687451296","-9.682371398445643","-19.60834980452661","-17.06564305312451","-43.33693328548607","-12.109561484058295","-12.979231818697453","-17.64090302789532","-17.091042649717103","-6.638815551184112","-10.309464378922746","-42.467109214337256"
"1563","-10.030447688247573","-26.28194828337504","-42.72517254763846","-12.4085145189295","-10.546194130525464","-20.060691257084134","-17.762112681670366","-43.76328000725428","-12.252756711303311","-13.123210734230051","-17.62101095586872","-17.481280149403016","-7.11130965354555","-10.41991847236745","-44.925951970863096"
"1564","-10.328449753713844","-26.71821455980894","-43.69057297428738","-12.69298150006006","-11.38307673458839","-20.450358543722196","-18.41494557955798","-44.045134552850854","-12.304775579035203","-13.356990490015654","-17.501631862655948","-17.79180549648254","-7.570578439352848","-10.521182299954749","-47.07704382627792"
"1565","-10.711128841174837","-27.032106832019778","-44.40010612351254","-12.920451550321266","-12.132005887041657","-20.85125602629165","-18.99271620611573","-44.230950238566194","-12.270677806801363","-13.686028023365965","-17.312883973252838","-18.02109105941347","-8.00136930867577","-10.621047252442903","-48.91625602193653"
"1566","-11.17108416561177","-27.218110895898757","-44.905802031418325","-13.102860577860627","-12.77626209381279","-21.295803751265044","-19.499428862874815","-44.36458260335384","-12.150981959119015","-14.122846843348931","-17.073631348245396","-18.16632596635198","-8.382362013263503","-10.72177426831848","-50.43430618558919"
"1567","-11.691817211177668","-27.260565532644673","-45.25114363248432","-13.260706730432494","-13.314428386343339","-21.797393487538095","-19.94825875601625","-44.4406362665965","-11.952100227769424","-14.65232785174202","-16.796612386055287","-18.226177457295474","-8.695411168560124","-10.823007843406096","-51.64000277585438"
"1568","-12.247613856332412","-27.157401638727567","-45.47679815973913","-13.399405950679503","-13.757717858175399","-22.351859256998026","-20.339430256871516","-44.460704539397796","-11.686027320361756","-15.249164415158065","-16.49637025754796","-18.20369716378729","-8.930539490361028","-10.921704533231562","-52.5537059518132"
"1569","-12.802788817803355","-26.909266863034357","-45.59609540478381","-13.504051396161751","-14.117898302975556","-22.93554303414436","-20.65950772280477","-44.40504478471426","-11.355372344075871","-15.873701978259982","-16.190993968656322","-18.095613862011387","-9.076154219871608","-11.01446725248607","-53.17132757303763"
"1570","-13.32830787234521","-26.51569951943014","-45.63946249958432","-13.580283004290344","-14.407881586869207","-23.49107445541408","-20.88721578670991","-44.23273107219277","-10.974469916458322","-16.47539506825646","-15.897461355380507","-17.918194341848295","-9.139781423165411","-11.09849020251021","-53.51331090976377"
"1571","-13.779712493937097","-25.97774501136522","-45.638414253805955","-13.641303917194218","-14.686765194673749","-23.961426856972633","-21.00836302813291","-43.90590731606086","-10.550906735151878","-16.99310681149122","-15.619430387954594","-17.685674324256965","-9.129206087741474","-11.175560803608297","-53.60163354147139"
"1572","-14.117504394372926","-25.301459213011988","-45.56287875785829","-13.690485312360057","-14.927704694023989","-24.29376461687026","-21.018120233784515","-43.43442688638469","-10.081942833607735","-17.3873466142727","-15.36635028179032","-17.397645900368335","-9.055038306038877","-11.245358245719586","-53.47090107671963"
"1573","-14.32155131989952","-24.49485726103951","-45.40027371056606","-13.712089107667143","-15.10316784199115","-24.4589098208698","-20.907735373019076","-42.80206903209624","-9.585883561450439","-17.64890204661172","-15.149958115653197","-17.04983434255988","-8.929113275375412","-11.303923053584954","-53.15169787781299"
"1574","-14.394337292272828","-23.56750389226037","-45.14803008985399","-13.697128830700734","-15.17965149365471","-24.445450474157337","-20.689723935613422","-41.93465868552146","-9.094518231506987","-17.75433835880912","-14.978120377385826","-16.666183128131408","-8.773016901755092","-11.343315057706599","-52.685379331361126"
"1575","-14.334603188004996","-22.5334950856603","-44.811412441762386","-13.642094256151031","-15.152669042052768","-24.246764655102616","-20.394672796159483","-40.95336114611742","-8.63813654459756","-17.714839060828734","-14.871142142476668","-16.270728334898234","-8.601411403669164","-11.35460856338027","-52.10557329758333"
